"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
15,"Geelong","Brisbane Lions","Geelong",0.534399693219515,"GMHBA Stadium",8.62876694690749
15,"Carlton","North Melbourne","Carlton",0.785910009252076,"MCG",33.1294611591421
15,"Port Adelaide","Sydney","Port Adelaide",0.70282170657648,"Adelaide Oval",13.2146974404128
15,"Collingwood","St Kilda","Collingwood",0.743379007436496,"Marvel Stadium",23.1335327355717
15,"GWS","Gold Coast","GWS",0.514080255974307,"ENGIE Stadium",3.53760037353961
15,"Footscray","Richmond","Footscray",0.818044380748137,"Marvel Stadium",40.2994920261838
16,"Port Adelaide","Carlton","Port Adelaide",0.532199101731868,"Adelaide Oval",8.07872268754668
16,"Sydney","Footscray","Footscray",0.306863866999287,"SCG",-10.8081404191682
16,"Gold Coast","Melbourne","Gold Coast",0.696302499728109,"People First Stadium",11.596091373381
16,"Hawthorn","North Melbourne","Hawthorn",0.809641577436189,"UTAS Stadium",38.461330565774
16,"Collingwood","West Coast","Collingwood",0.867302542076697,"Marvel Stadium",50.469728711888
16,"Richmond","Adelaide","Adelaide",0.264545878731886,"MCG",-21.2199104273688
16,"Fremantle","St Kilda","Fremantle",0.732783302426229,"Optus Stadium",20.5719652582106
